stream,architecture,seed,n_post_warmup,incumbent_mean_brier,candidate_mean_brier,mean_brier_gap,promotion_time,final_log_evidence
Phishing,16,9,650,0.15282274782365587,0.12491176939024959,0.02791097843340632,320,14.881307195939776
Phishing,16,10,650,0.20112020775944633,0.15178098328473,0.04933922447471637,238,27.505161675821434
Phishing,16,11,650,0.1685355009577934,0.129827843274891,0.03870765768290242,257,21.26610103211903
Phishing,16,12,650,0.15903098125832554,0.12240197904388066,0.03662900221444491,266,19.94673025491211
Phishing,16,13,650,0.1877303248774102,0.1466994434383595,0.04103088143905067,264,22.574651427984954
Phishing,16,14,650,0.16736130084601267,0.1300825925089713,0.03727870833704133,265,20.617565681628598
Phishing,16,15,650,0.140689583958574,0.10791354289145993,0.03277604106711409,270,17.630138975397156
Phishing,16,16,650,0.1732756532854761,0.12976091096354625,0.04351474232192987,235,24.110727345628582
Phishing,16,17,650,0.12016529890902121,0.09374926931917894,0.026416029589842262,293,13.753020979203537
Phishing,16,18,650,0.15898240989764936,0.12134599709861194,0.03763641279903743,265,20.093149904329664
Phishing,16,19,650,0.1346982854634249,0.11522031054627989,0.019477974917145032,374,10.123756773377211
Phishing,16-8,0,650,0.17312729535746374,0.1385029313283924,0.03462436402907135,281,18.4952240945929
Phishing,16-8,1,650,0.18956296759747146,0.14279436150029173,0.04676860609717974,247,25.634176914872555
Phishing,16-8,2,650,0.17295705101625208,0.1363399356717814,0.036617115344470694,301,19.937911685841772
Phishing,16-8,3,650,0.229361960627425,0.19948631478106388,0.02987564584636109,298,16.054491576539647
Phishing,16-8,4,650,0.20376935271955807,0.17123965605678962,0.03252969666276847,297,17.0397741025185
Phishing,16-8,5,650,0.20064180245813837,0.16152444477278288,0.0391173576853555,294,21.37667217562587
Phishing,16-8,6,650,0.23604392995537488,0.21575915817697144,0.020284771778403404,362,9.442309764600887
Phishing,16-8,7,650,0.2649671918333507,0.23799788772899555,0.026969304104355152,337,13.845781776226112
Phishing,16-8,8,650,0.233999657020705,0.2088349286729045,0.025164728347800473,340,13.292710559820932
Phishing,16-8,9,650,0.2082682925458508,0.1839033611707711,0.024364931375079706,380,12.840463489281218
Phishing,16-8,10,650,0.2311026439652397,0.19152692923255096,0.039575714732688734,280,21.85957719616854
Phishing,16-8,11,650,0.2069918878596973,0.18117582845154606,0.025816059408151248,309,12.891825080505965
Phishing,16-8,12,650,0.19196200588715723,0.15550603684923306,0.036455969037924196,292,19.891767215578806
Phishing,16-8,13,650,0.23564409642490897,0.21198054561946986,0.02366355080543911,375,12.119270584873274
