seed,corruption,severity,n_observations,mean_brier_advantage,mean_error_advantage
1,impulse_noise,3,2000,0.0863452685965943,0.116
1,impulse_noise,4,2000,0.18568247381365655,0.236
1,impulse_noise,5,2000,0.2600604018574907,0.3175
1,defocus_blur,1,2000,-0.00014799219453138802,-0.0035
1,defocus_blur,2,2000,0.0062774238522479466,0.009
1,defocus_blur,3,2000,0.0382752897277917,0.05
1,defocus_blur,4,2000,0.11474212453458711,0.1475
1,defocus_blur,5,2000,0.23419861891233676,0.298
1,glass_blur,1,2000,0.08512012261761275,0.102
1,glass_blur,2,2000,0.16084762444026984,0.2
1,glass_blur,3,2000,0.14485775324886258,0.1815
1,glass_blur,4,2000,0.23533783399559,0.281
1,glass_blur,5,2000,0.20033098522442966,0.2315
1,motion_blur,1,2000,0.01675261119688933,0.022
1,motion_blur,2,2000,0.07353557022534338,0.0955
1,motion_blur,3,2000,0.12624013237095033,0.1655
1,motion_blur,4,2000,0.13742257785845705,0.1815
1,motion_blur,5,2000,0.19504102541380838,0.2495
1,zoom_blur,1,2000,0.02363891227062527,0.0315
1,zoom_blur,2,2000,0.06195754968244474,0.0855
1,zoom_blur,3,2000,0.109414951514917,0.1435
1,zoom_blur,4,2000,0.14368088054291292,0.183
1,zoom_blur,5,2000,0.2014878448169573,0.2635
1,snow,1,2000,0.005979578298865616,0.006
1,snow,2,2000,0.05040490304249924,0.061
1,snow,3,2000,0.03577166210039223,0.0375
1,snow,4,2000,0.06450943292994675,0.074
1,snow,5,2000,0.10663379979117557,0.128
1,frost,1,2000,0.010024067797731281,0.0125
1,frost,2,2000,0.03546628852306037,0.047
1,frost,3,2000,0.09297358213334164,0.1195
1,frost,4,2000,0.1273220901702827,0.1625
1,frost,5,2000,0.17973028008451852,0.2195
1,fog,1,2000,0.0008050833318495895,0.0
1,fog,2,2000,0.012849024576245259,0.0165
1,fog,3,2000,0.022546984428467403,0.0285
1,fog,4,2000,0.055080484692870274,0.0755
1,fog,5,2000,0.1398957873965385,0.1835
